;x.0;x.1;x.2;x.3;x.4;x.5;x.6;x.7;x.8;x.9;x.10;x.11;x.12;x.13;x.14;x.20;x.17;x.18;x.19;x.16;y
584;b;34,92;5.0;u;g;x;h;7.5;t;t;6;t;g;f;1000;?;135,9702209;28,97829283;f;f;good
585;b;28,33;5.0;u;g;w;v;11.0;t;f;f;t;g;70.0;f;?;106,9673613;25,92760238;70000.0;f;good
586;b;37,33;6.5;u;g;m;h;4.25;t;t;12;t;g;93.0;f;?;138,3787739;36,09441918;93000.0;f;good
587;b;25,67;12.5;u;g;cc;v;1.21;t;t;67;t;g;140.0;258;?;92,35535754;69,68027663;140000.0;f;good
588;b;25,67;12.5;u;g;cc;v;1.21;t;t;67;t;g;140.0;258;?;92,35535754;69,68027663;140000.0;f;good
589;a;18,42;9.25;u;g;q;v;1.21;t;t;4;f;g;60.0;540;?;74,23175297;51,15756979;60000.0;f;good
590;b;65,42;11.0;u;g;e;z;20.0;t;t;7;t;g;22.0;f;?;243,7269588;62,18902213;22000.0;f;good
591;b;22,33;11.0;u;g;w;v;2.0;t;t;t;f;g;80.0;278;?;83,02973229;61,92615625;80000.0;f;good
592;b;48,58;6.5;u;g;q;h;6.0;t;f;f;t;g;350.0;f;?;183,2290102;37,08885932;350000.0;f;good
593;b;56,58;18.5;u;g;d;bb;15.0;t;t;17;t;g;f;f;?;210,2644222;103,8133197;f;?;good
594;b;56;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;?;209,0427104;70,05543362;24000.0;?;good
595;b;20,17;5.625;u;g;w;v;1.71;t;f;f;f;s;120.0;f;?;77,87030244;31,11146096;120000.0;?;good
596;b;34,17;1.54;u;g;cc;v;1.54;t;t;t;t;g;520.0;50000;?;129,6775797;7,95242916;520000.0;f;good
597;a;21,67;11.5;y;p;j;j;f;t;t;11;t;g;f;f;?;80,56016735;63,20439123;f;f;good
598;b;37,5;1.125;y;p;d;v;1.5;a;f;f;t;g;431.0;f;?;142,7128289;5,502009139;431000.0;f;good
599;b;26,67;4.25;u;g;cc;v;4.29;t;t;t;t;g;120.0;f;?;100,8420148;22,57894874;120000.0;f;good
600;b;34,92;2.5;u;g;w;v;f;t;f;f;t;g;239.0;200;?;131,0946658;14,03609657;239000.0;f;good
601;a;50,08;12.54;u;g;aa;v;2.29;t;t;3;t;g;156.0;f;?;189,1274951;71,54738479;156000.0;?;good
602;a;22,5;8.46;y;p;x;v;2.46;a;f;f;f;g;164.0;f;?;83,54639045;48,49853299;164000.0;?;good
603;a;47,42;8.0;u;g;e;bb;6.5;t;t;6;f;g;375.0;51100;?;178,7114397;43,78251383;375000.0;f;good
604;b;36,25;5.0;u;g;c;bb;2.5;t;t;6;f;g;f;367;?;140,591985;28,04358278;f;f;good
605;b;48,17;3.5;u;g;aa;v;3.5;t;f;f;f;s;230.0;f;?;179,372996;22,69180346;230000.0;?;good
606;a;45,83;10.5;u;g;q;v;5.0;t;t;7;t;g;f;f;?;174,9330559;58,6517198;f;f;good
607;a;23,42;0.79;y;p;q;v;1.5;t;t;2;t;g;80.0;400;?;86,33932152;5,007132746;80000.0;f;good
608;a;28,67;1.04;u;g;c;v;2.5;t;t;5;t;g;300.0;1430;?;108,1737864;7,493867821;300000.0;f;good
609;a;24,08;0.5;u;g;q;h;1.25;t;t;t;f;g;f;678;?;92,74793817;3,264361774;f;f;good
610;a;18,92;9.25;y;p;c;v;t;t;t;4;t;g;80.0;500;?;76,61905108;51,15643889;80000.0;f;good
611;b;48,58;6.5;u;g;q;h;6.0;t;f;f;t;g;350.0;f;?;183,2290102;37,08885932;350000.0;f;good
612;a;36;t;u;g;c;v;2.0;t;t;11;f;g;f;456;?;136,2277365;4,137923911;f;f;good
613;a;49,83;13.585;u;g;k;h;8.5;t;f;f;t;g;f;f;?;187,8914555;77,05855369;f;f;good
614;b;20,42;1.835;u;g;c;v;2.25;t;t;t;f;g;100.0;150;?;74,26174717;10,67288103;100000.0;?;good
615;b;27,75;0.585;y;p;cc;v;0.25;t;t;2;f;g;260.0;500;?;102,4198032;1,014527645;260000.0;f;good
616;b;44,33;0.5;u;g;i;h;5.0;t;f;f;t;g;320.0;f;?;166,9581163;3,443010986;320000.0;f;good
617;a;27,42;14.5;u;g;x;h;3.085;t;t;t;f;g;120.0;11;?;106,2707349;83,52617976;120000.0;?;good
618;b;28,25;5.04;y;p;c;bb;1.5;t;t;8;t;g;144.0;7;?;109,5354315;27,88597604;144000.0;f;good
619;b;28,25;5.04;y;p;c;bb;1.5;t;t;8;t;g;144.0;7;?;109,5354315;27,88597604;144000.0;f;good
620;a;26,92;13.5;u;g;q;h;5.0;t;t;2;f;g;f;5000;?;103,3365486;77,42511685;f;?;good
621;b;57,42;8.5;u;g;e;h;7.0;t;t;3;f;g;f;f;?;217,1066179;48,22554383;f;f;good
622;b;37,58;f;?;?;?;?;f;c;f;f;f;p;?;f;?;143,7198497;0,453010332;?;f;good
623;b;45;8.5;u;g;cc;h;14.0;t;t;t;t;g;88.0;2000;?;169,981774;47,53953639;88000.0;f;good
624;b;25;12.5;u;g;aa;v;3.0;t;f;f;t;s;20.0;f;?;94,15118376;70,13171065;20000.0;?;good
625;b;57,42;8.5;u;g;e;h;7.0;t;t;3;f;g;f;f;?;217,1066179;48,22554383;f;f;good
626;a;27,42;14.5;u;g;x;h;3.085;t;t;t;f;g;120.0;11;?;106,2707349;83,52617976;120000.0;f;good
627;b;26;t;u;g;q;v;1.75;t;f;f;t;g;280.0;f;?;101,5596464;4,997697433;280000.0;?;good
628;a;21,67;11.5;y;p;j;j;f;t;t;11;t;g;f;f;?;80,56016735;63,20439123;f;?;good
629;b;18,08;5.5;u;g;k;v;0.5;t;f;f;f;g;80.0;f;?;67,19429416;31,70129184;80000.0;f;good
630;b;23,25;t;u;g;c;v;0.835;t;f;f;f;s;300.0;f;?;85,35035924;6,484371526;300000.0;f;good
631;a;24,5;0.5;u;g;q;h;1.5;t;f;f;f;g;280.0;824;?;92,08407671;2,317337159;280000.0;f;good
632;b;39,33;5.875;u;g;cc;h;10.0;t;t;14;t;g;399.0;f;?;148,3979041;32,24694782;399000.0;f;good
633;a;71,58;f;?;?;?;?;f;a;f;f;f;p;?;f;?;273,1107166;0,713278953;?;f;good
634;b;28,25;0.875;u;g;m;v;0.96;t;t;3;t;g;396.0;f;?;110,3598596;6,246483734;396000.0;f;good
635;b;20,17;8.17;u;g;aa;v;1.96;t;t;14;f;g;60.0;158;?;78,86795447;45,29747193;60000.0;f;good
636;b;19,67;0.375;u;g;q;v;2.0;t;t;2;t;g;80.0;f;?;76,48492584;1,719608333;80000.0;?;good
637;a;23,42;0.79;y;p;q;v;1.5;t;t;2;t;g;80.0;400;?;86,33932152;5,007132746;80000.0;f;good
638;b;23,25;t;u;g;c;v;0.835;t;f;f;f;s;300.0;f;?;85,35035924;6,484371526;300000.0;f;good
639;b;42,5;4.915;y;p;w;v;3.165;t;f;f;t;g;52.0;1442;?;167,5178889;27,79226479;52000.0;f;good
640;b;19,67;0.375;u;g;q;v;2.0;t;t;2;t;g;80.0;f;?;76,48492584;1,719608333;80000.0;f;good
641;b;38,17;10.125;u;g;x;v;2.5;t;t;6;f;g;520.0;196;?;143,8557312;56,83316539;520000.0;f;good
642;b;22,67;1.585;y;p;w;v;3.085;t;t;6;f;g;80.0;f;?;84,07003105;7,798114974;80000.0;f;good
643;b;26,17;0.25;u;g;i;bb;f;t;f;f;t;g;f;f;?;100,3012709;1,653224811;f;f;good
644;a;71,58;f;?;?;?;?;f;a;f;f;f;p;?;f;?;273,1107166;0,713278953;?;?;good
645;b;43,25;3.0;u;g;q;h;6.0;t;t;11;f;g;80.0;f;?;166,3770294;17,38405174;80000.0;f;good
646;a;45,83;10.5;u;g;q;v;5.0;t;t;7;t;g;f;f;?;174,9330559;58,6517198;f;f;good
647;b;43;0.29;y;p;cc;h;1.75;t;t;8;f;g;100.0;375;?;163,0735902;1,978388156;100000.0;f;good
648;b;32,83;2.5;u;g;cc;h;2.75;t;t;6;f;g;160.0;2072;?;123,8594658;13,02908846;160000.0;f;good
649;b;23,25;1.5;u;g;q;v;2.375;t;t;3;t;g;f;582;?;87,44878913;8,890198728;f;?;good
650;b;35,17;4.5;u;g;x;h;5.75;a;f;f;t;s;711.0;f;?;132,6939936;24,83805932;711000.0;f;good
651;b;55,92;11.5;u;g;ff;ff;5.0;t;t;5;f;g;f;8851;?;211,603228;64,22885615;f;?;good
652;b;29,92;1.835;u;g;c;h;4.335;t;f;f;f;g;260.0;200;?;111,1893577;9,230494089;260000.0;f;good
653;b;36,75;0.125;y;p;c;v;1.5;c;f;f;t;g;232.0;113;?;137,1327587;1,605772213;232000.0;f;good
654;b;28,92;15.0;u;g;c;h;5.335;t;t;11;f;g;f;2283;?;111,131298;83,40092014;f;f;good
655;b;41,42;5.0;u;g;q;h;5.0;t;t;6;t;g;470.0;f;?;159,6329562;26,81451721;470000.0;?;good
656;b;27,25;1.585;u;g;cc;h;1.835;t;t;12;t;g;583.0;713;?;106,0212796;8,940649837;583000.0;f;good
657;a;41;2.04;y;p;q;h;0.125;t;t;23;t;g;455.0;1236;?;154,6063653;10,40764622;455000.0;f;good
658;a;71,58;f;?;?;?;?;f;a;f;f;f;p;?;f;?;273,1107166;0,713278953;?;f;good
659;a;28,5;3.04;y;p;x;h;2.54;t;t;t;f;g;70.0;f;?;104,8851284;15,47103448;70000.0;f;good
660;b;27,83;1.5;u;g;w;v;2.0;t;t;11;t;g;434.0;35;?;101,1736509;9,375961618;434000.0;f;good
661;a;58,33;10.0;u;g;q;v;4.0;t;t;14;f;g;f;1602;?;220,4438209;53,40828488;f;?;good
662;b;41,17;4.04;u;g;cc;h;7.0;t;t;8;f;g;320.0;f;?;153,7676556;22,08807222;320000.0;f;good
663;b;36,33;2.125;y;p;w;v;0.085;t;t;t;f;g;50.0;1187;?;138,6876675;11,07716799;50000.0;?;good
664;b;42;0.205;u;g;i;h;5.125;t;f;f;f;g;400.0;f;?;160,3047606;1,146294445;400000.0;f;good
665;b;44,33;0.5;u;g;i;h;5.0;t;f;f;t;g;320.0;f;?;166,9581163;3,443010986;320000.0;?;good
666;b;42,08;1.04;u;g;w;v;5.0;t;t;6;t;g;500.0;10000;?;157,7203615;5,314717778;500000.0;f;good
667;b;26,17;0.25;u;g;i;bb;f;t;f;f;t;g;f;f;?;100,3012709;1,653224811;f;f;good
668;b;20,42;1.835;u;g;c;v;2.25;t;t;t;f;g;100.0;150;?;74,26174717;10,67288103;100000.0;f;good
669;b;25;12.5;u;g;aa;v;3.0;t;f;f;t;s;20.0;f;?;94,15118376;70,13171065;20000.0;?;good
670;a;60,58;16.5;u;g;q;v;11.0;t;f;f;t;g;21.0;10561;?;230,3403224;93,52989342;21000.0;f;good
671;b;36,67;4.415;y;p;k;v;0.25;t;t;10;t;g;320.0;f;?;139,4725822;25,20270241;320000.0;f;good
672;a;28,67;1.04;u;g;c;v;2.5;t;t;5;t;g;300.0;1430;?;108,1737864;7,493867821;300000.0;?;good
673;a;22,42;5.665;u;g;q;v;2.585;t;t;7;f;g;129.0;3257;?;85,33086557;31,81332213;129000.0;f;good
674;a;25,08;2.54;y;p;aa;v;0.25;t;f;f;t;g;370.0;f;?;93,39237156;13,42583142;370000.0;?;good
675;b;28,92;15.0;u;g;c;h;5.335;t;t;11;f;g;f;2283;?;111,131298;83,40092014;f;f;good
676;b;56,75;12.25;u;g;m;v;1.25;t;t;4;t;g;200.0;f;?;210,7516884;69,34477154;200000.0;f;good
677;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;?;174,3666723;2,67751245;440000.0;f;good
678;b;41,42;5.0;u;g;q;h;5.0;t;t;6;t;g;470.0;f;?;159,6329562;26,81451721;470000.0;?;good
679;b;56;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;?;209,0427104;70,05543362;24000.0;f;good
680;a;37,75;5.5;u;g;q;v;0.125;t;f;f;t;g;228.0;f;?;143,1182235;31,32281807;228000.0;?;good
681;b;48,58;0.205;y;p;k;v;0.25;t;t;11;f;g;380.0;2732;?;183,2400637;1,631108008;380000.0;?;good
682;a;52,83;15.0;u;g;c;v;5.5;t;t;14;f;g;f;2200;?;198,1865226;84,52708164;f;f;good
683;b;21,83;0.25;u;g;d;h;0.665;t;f;f;t;g;f;f;?;81,53858102;2,979437876;f;f;good
684;b;23,33;11.625;y;p;w;v;0.835;t;f;f;t;g;160.0;300;?;89,25088716;63,77832786;160000.0;?;good
685;a;30,5;6.5;u;g;c;bb;4.0;t;t;7;t;g;f;3065;?;115,5878875;37,35598082;f;f;good
686;a;49,83;13.585;u;g;k;h;8.5;t;f;f;t;g;f;f;?;187,8914555;77,05855369;f;f;good
687;b;53,92;9.625;u;g;e;v;8.665;t;t;5;f;g;f;f;?;204,4396463;52,6641007;f;f;good
688;b;41,42;5.0;u;g;q;h;5.0;t;t;6;t;g;470.0;f;?;159,6329562;26,81451721;470000.0;f;good
689;b;36,67;3.25;u;g;q;h;9.0;t;f;f;t;g;102.0;639;?;137,2050398;18,72278355;102000.0;?;good
690;a;71,58;f;?;?;?;?;f;a;f;f;f;p;?;f;?;273,1107166;0,713278953;?;f;good
691;b;54,58;9.415;u;g;ff;ff;14.415;t;t;11;t;g;30.0;300;?;204,0857849;51,59678265;30000.0;f;good
692;b;23,25;4.0;u;g;c;bb;0.25;t;f;f;t;g;160.0;f;?;89,76743426;21,77918836;160000.0;f;good
693;b;28,33;5.0;u;g;w;v;11.0;t;f;f;t;g;70.0;f;?;106,9673613;25,92760238;70000.0;?;good
694;a;23,5;9.0;u;g;q;v;8.5;t;t;5;t;g;120.0;f;?;87,96988271;49,07013737;120000.0;f;good
695;b;35,17;4.5;u;g;x;h;5.75;a;f;f;t;s;711.0;f;?;132,6939936;24,83805932;711000.0;f;good
696;a;28,67;1.04;u;g;c;v;2.5;t;t;5;t;g;300.0;1430;?;108,1737864;7,493867821;300000.0;f;good
697;a;37,75;5.5;u;g;q;v;0.125;t;f;f;t;g;228.0;f;?;143,1182235;31,32281807;228000.0;f;good
698;a;23;11.75;u;g;x;h;0.5;t;t;2;t;g;300.0;551;?;84,75408414;66,35546474;300000.0;f;good
699;b;39,92;6.21;u;g;q;v;0.04;t;t;t;f;g;200.0;300;?;150,3452796;35,66336267;200000.0;?;good
700;a;47,25;0.75;u;g;q;h;2.75;t;t;t;f;g;333.0;892;?;176,9914678;5,452863111;333000.0;f;good
701;a;47,75;8.0;u;g;c;v;7.875;t;t;6;t;g;f;1260;?;178,2823834;45,69310034;f;?;good
702;b;25,08;1.71;u;g;x;v;1.665;t;t;t;t;g;395.0;20;?;91,60435899;9,248474863;395000.0;?;good
703;b;25;11.25;u;g;c;v;2.5;t;t;17;f;g;200.0;1208;?;92,70966968;62,17276776;200000.0;?;good
704;b;25;12.5;u;g;aa;v;3.0;t;f;f;t;s;20.0;f;?;94,15118376;70,13171065;20000.0;f;good
705;a;25,08;2.54;y;p;aa;v;0.25;t;f;f;t;g;370.0;f;?;93,39237156;13,42583142;370000.0;f;good
706;b;56,75;12.25;u;g;m;v;1.25;t;t;4;t;g;200.0;f;?;210,7516884;69,34477154;200000.0;f;good
707;a;20,67;1.835;u;g;q;v;2.085;t;t;5;f;g;220.0;2503;?;82,82645263;10,68037222;220000.0;f;good
708;a;23,5;9.0;u;g;q;v;8.5;t;t;5;t;g;120.0;f;?;87,96988271;49,07013737;120000.0;?;good
709;a;33,08;4.625;u;g;q;h;1.625;t;t;2;f;g;f;f;?;126,5349078;24,22093921;f;?;good
710;a;25,08;2.54;y;p;aa;v;0.25;t;f;f;t;g;370.0;f;?;93,39237156;13,42583142;370000.0;?;good
711;b;33,5;1.75;u;g;x;h;4.5;t;t;4;t;g;253.0;857;?;126,9109492;8,580366165;253000.0;f;good
712;b;23,25;1.5;u;g;q;v;2.375;t;t;3;t;g;f;582;?;87,44878913;8,890198728;f;f;good
713;b;31,92;4.46;u;g;cc;h;6.04;t;t;3;f;g;311.0;300;?;122,4284342;26,03645629;311000.0;f;good
714;b;28;2.0;u;g;k;h;4.165;t;t;2;t;g;181.0;f;?;107,5762054;11,61233555;181000.0;f;good
715;b;57,83;7.04;u;g;m;v;14.0;t;t;6;t;g;360.0;1332;?;220,8489213;40,07103339;360000.0;f;good
716;b;34,92;2.5;u;g;w;v;f;t;f;f;t;g;239.0;200;?;131,0946658;14,03609657;239000.0;f;good
717;b;34,08;0.08;y;p;m;bb;0.04;t;t;t;t;g;280.0;2000;?;127,3060547;1,456704347;280000.0;?;good
718;b;25,67;12.5;u;g;cc;v;1.21;t;t;67;t;g;140.0;258;?;92,35535754;69,68027663;140000.0;?;good
719;b;25,5;0.375;u;g;m;v;0.25;t;t;3;f;g;260.0;15108;?;95,01924631;2,345474658;260000.0;f;good
720;b;37,42;2.04;u;g;w;v;0.04;t;f;f;t;g;400.0;5800;?;140,3831211;11,61509684;400000.0;f;good
721;b;32,67;5.5;u;g;q;h;5.5;t;t;12;t;g;408.0;1000;?;125,4369745;30,43434566;408000.0;f;good
722;b;42,5;4.915;y;p;w;v;3.165;t;f;f;t;g;52.0;1442;?;167,5178889;27,79226479;52000.0;?;good
723;b;35,17;25.125;u;g;x;h;1.625;t;t;t;t;g;515.0;500;?;136,1278566;140,2224625;515000.0;f;good
724;a;26,08;8.665;u;g;aa;v;1.415;t;f;f;f;g;160.0;150;?;97,36498225;47,08881792;160000.0;f;good
725;b;34,17;1.54;u;g;cc;v;1.54;t;t;t;t;g;520.0;50000;?;129,6775797;7,95242916;520000.0;f;good
726;a;44,17;6.665;u;g;q;v;7.375;t;t;3;t;g;f;f;?;165,5335634;38,64918902;f;f;good
727;b;67,75;5.5;u;g;e;z;13.0;t;t;t;t;g;f;f;?;256,496825;29,24014524;f;f;good
728;a;40,33;7.54;y;p;q;h;8.0;t;t;14;f;g;f;2300;?;150,2122418;42,00525002;f;?;good
729;b;26,17;0.25;u;g;i;bb;f;t;f;f;t;g;f;f;?;100,3012709;1,653224811;f;f;good
730;b;26;t;u;g;q;v;1.75;t;f;f;t;g;280.0;f;?;101,5596464;4,997697433;280000.0;f;good
731;a;20,75;10.335;u;g;cc;h;0.335;t;t;t;t;g;80.0;50;?;80,20874487;57,6732082;80000.0;?;good
732;b;27,25;1.585;u;g;cc;h;1.835;t;t;12;t;g;583.0;713;?;106,0212796;8,940649837;583000.0;?;good
733;b;47,67;2.5;u;g;m;bb;2.5;t;t;12;t;g;410.0;2510;?;179,4557426;12,71888071;410000.0;f;good
734;a;18,42;9.25;u;g;q;v;1.21;t;t;4;f;g;60.0;540;?;74,23175297;51,15756979;60000.0;f;good
735;a;18,83;9.54;u;g;aa;v;0.085;t;f;f;f;g;100.0;f;?;73,43702356;53,26096595;100000.0;f;good
736;?;24,5;12.75;u;g;c;bb;4.75;t;t;2;f;g;73.0;444;?;90,31758426;71,2004779;73000.0;f;good
737;b;27,83;1.5;u;g;w;v;2.0;t;t;11;t;g;434.0;35;?;101,1736509;9,375961618;434000.0;f;good
738;b;37,5;1.125;y;p;d;v;1.5;a;f;f;t;g;431.0;f;?;142,7128289;5,502009139;431000.0;f;good
739;a;20,75;10.25;u;g;q;v;0.71;t;t;2;t;g;49.0;f;?;76,95618101;59,07503193;49000.0;?;good
740;b;21,33;10.5;u;g;c;v;3.0;t;f;f;t;g;f;f;?;82,08646602;59,23722356;f;?;good
741;a;24,08;0.5;u;g;q;h;1.25;t;t;t;f;g;f;678;?;92,74793817;3,264361774;f;f;good
742;b;48,17;7.625;u;g;w;h;15.5;t;t;12;f;g;f;790;?;179,9460929;43,14893989;f;f;good
743;b;28,25;5.04;y;p;c;bb;1.5;t;t;8;t;g;144.0;7;?;109,5354315;27,88597604;144000.0;f;good
744;b;37,5;1.125;y;p;d;v;1.5;a;f;f;t;g;431.0;f;?;142,7128289;5,502009139;431000.0;f;good
745;b;24,83;2.75;u;g;c;v;2.25;t;t;6;f;g;?;600;?;91,1501508;16,9903815;?;f;good
746;b;48,58;0.205;y;p;k;v;0.25;t;t;11;f;g;380.0;2732;?;183,2400637;1,631108008;380000.0;f;good
747;b;39,58;13.915;u;g;w;v;8.625;t;t;6;t;g;70.0;f;?;150,1695277;79,15622019;70000.0;?;good
748;b;28;2.0;u;g;k;h;4.165;t;t;2;t;g;181.0;f;?;107,5762054;11,61233555;181000.0;?;good
749;b;34,5;4.04;y;p;i;bb;8.5;t;t;7;t;g;195.0;f;?;132,445487;23,4754705;195000.0;?;good
750;b;22,08;0.83;u;g;c;h;2.165;b;f;f;t;g;128.0;f;?;84,33001344;4,418577803;128000.0;f;good
751;a;23,25;5.875;u;g;q;v;3.17;t;t;10;f;g;120.0;245;?;86,46113984;31,69441092;120000.0;?;good
752;b;41,42;5.0;u;g;q;h;5.0;t;t;6;t;g;470.0;f;?;159,6329562;26,81451721;470000.0;f;good
753;b;56;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;?;209,0427104;70,05543362;24000.0;?;good
754;b;28,67;9.335;u;g;q;h;5.665;t;t;6;f;g;381.0;168;?;108,9258591;52,51724107;381000.0;?;good
755;b;34,17;1.54;u;g;cc;v;1.54;t;t;t;t;g;520.0;50000;?;129,6775797;7,95242916;520000.0;f;good
756;a;22,5;8.46;y;p;x;v;2.46;a;f;f;f;g;164.0;f;?;83,54639045;48,49853299;164000.0;f;good
757;a;45,83;10.5;u;g;q;v;5.0;t;t;7;t;g;f;f;?;174,9330559;58,6517198;f;f;good
758;b;60,08;14.5;u;g;ff;ff;18.0;t;t;15;t;g;f;1000;?;229,6233013;79,85251743;f;f;good
759;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;?;174,3666723;2,67751245;440000.0;f;good
760;b;28,67;9.335;u;g;q;h;5.665;t;t;6;f;g;381.0;168;?;108,9258591;52,51724107;381000.0;f;good
761;a;23,25;5.875;u;g;q;v;3.17;t;t;10;f;g;120.0;245;?;86,46113984;31,69441092;120000.0;?;good
762;a;22,92;11.585;u;g;cc;v;0.04;t;f;f;f;g;80.0;1349;?;89,8829577;63,99823289;80000.0;?;good
763;b;49,5;7.585;u;g;i;bb;7.585;t;t;15;t;g;f;5000;?;188,3903439;42,72521311;f;?;good
764;b;44,33;0.5;u;g;i;h;5.0;t;f;f;t;g;320.0;f;?;166,9581163;3,443010986;320000.0;f;good
765;b;34,08;0.08;y;p;m;bb;0.04;t;t;t;t;g;280.0;2000;?;127,3060547;1,456704347;280000.0;f;good
766;b;52,5;6.5;u;g;k;v;6.29;t;t;15;f;g;f;11202;?;200,8414027;37,49257501;f;f;good
767;b;25,17;3.5;u;g;cc;v;0.625;t;t;7;f;g;f;7059;?;92,96459239;19,78938754;f;f;good
768;a;44,17;6.665;u;g;q;v;7.375;t;t;3;t;g;f;f;?;165,5335634;38,64918902;f;f;good
769;b;36,67;3.25;u;g;q;h;9.0;t;f;f;t;g;102.0;639;?;137,2050398;18,72278355;102000.0;f;good
770;b;23,17;f;u;g;cc;v;0.085;t;f;f;f;g;f;f;?;91,16425277;1,194819477;f;?;good
771;a;47,25;0.75;u;g;q;h;2.75;t;t;t;f;g;333.0;892;?;176,9914678;5,452863111;333000.0;f;good
772;a;21,25;2.335;u;g;i;bb;0.5;t;t;4;f;s;80.0;f;?;77,90332304;13,88018748;80000.0;f;good
773;b;36,67;3.25;u;g;q;h;9.0;t;f;f;t;g;102.0;639;?;137,2050398;18,72278355;102000.0;?;good
774;b;34,42;4.25;u;g;i;bb;3.25;t;t;2;f;g;274.0;610;?;130,2561297;21,71180195;274000.0;f;good
775;b;27,25;1.665;u;g;cc;h;5.085;t;t;9;f;g;399.0;827;?;103,1275726;10,84876038;399000.0;f;good
776;b;56;12.5;u;g;k;h;8.0;t;f;f;t;g;24.0;2028;?;209,0427104;70,05543362;24000.0;f;good
777;a;40,83;10.0;u;g;q;h;1.75;t;f;f;f;g;29.0;837;?;152,6405052;55,30930451;29000.0;f;good
778;b;48,17;3.5;u;g;aa;v;3.5;t;f;f;f;s;230.0;f;?;179,372996;22,69180346;230000.0;f;good
779;a;19,67;0.21;u;g;q;h;0.29;t;t;11;f;g;80.0;99;?;70,19643608;1,756891527;80000.0;f;good
780;b;36,25;5.0;u;g;c;bb;2.5;t;t;6;f;g;f;367;?;140,591985;28,04358278;f;f;good
781;a;46,67;0.46;u;g;cc;h;0.415;t;t;11;t;g;440.0;6;?;174,3666723;2,67751245;440000.0;?;good
782;b;31,67;16.165;u;g;d;v;3.0;t;t;9;f;g;250.0;730;?;122,6177786;89,44064027;250000.0;?;good
783;a;27,42;14.5;u;g;x;h;3.085;t;t;t;f;g;120.0;11;?;106,2707349;83,52617976;120000.0;?;good
784;b;19,67;0.375;u;g;q;v;2.0;t;t;2;t;g;80.0;f;?;76,48492584;1,719608333;80000.0;f;good
785;b;22,75;11.0;u;g;q;v;2.5;t;t;7;t;g;100.0;809;?;86,89163231;62,03126885;100000.0;f;good
786;b;29,67;1.415;u;g;w;h;0.75;t;t;t;f;g;240.0;100;?;112,2530577;6,604351225;240000.0;f;good
787;a;58,33;10.0;u;g;q;v;4.0;t;t;14;f;g;f;1602;?;220,4438209;53,40828488;f;f;good
788;b;31,92;4.46;u;g;cc;h;6.04;t;t;3;f;g;311.0;300;?;122,4284342;26,03645629;311000.0;f;good
789;b;36,25;5.0;u;g;c;bb;2.5;t;t;6;f;g;f;367;?;140,591985;28,04358278;f;f;good
790;b;48,58;6.5;u;g;q;h;6.0;t;f;f;t;g;350.0;f;?;183,2290102;37,08885932;350000.0;f;good
791;b;60,08;14.5;u;g;ff;ff;18.0;t;t;15;t;g;f;1000;?;229,6233013;79,85251743;f;f;good
792;a;33,67;0.375;u;g;cc;v;0.375;c;f;f;f;g;300.0;44;?;128,2030922;2,970301096;300000.0;f;good
793;b;25,17;3.5;u;g;cc;v;0.625;t;t;7;f;g;f;7059;?;92,96459239;19,78938754;f;?;good
794;b;56,42;28.0;y;p;c;v;28.5;t;t;40;f;g;f;15;?;213,7578394;157,8885115;f;?;good
795;b;42;9.79;u;g;x;h;7.96;t;t;8;f;g;f;f;?;159,3136047;54,63192244;f;?;good
796;b;54,58;9.415;u;g;ff;ff;14.415;t;t;11;t;g;30.0;300;?;204,0857849;51,59678265;30000.0;f;good
797;a;33,67;0.375;u;g;cc;v;0.375;c;f;f;f;g;300.0;44;?;128,2030922;2,970301096;300000.0;f;good
798;a;25,75;0.5;u;g;c;h;0.875;t;f;f;t;g;491.0;f;?;95,94337526;3,440996572;491000.0;f;good
799;b;34,42;4.25;u;g;i;bb;3.25;t;t;2;f;g;274.0;610;?;130,2561297;21,71180195;274000.0;f;good
800;a;17,83;11.0;u;g;x;h;t;t;t;11;f;g;f;3000;?;69,40477289;61,38844002;f;f;good
801;b;48,08;6.04;u;g;k;v;0.04;a;f;f;f;g;f;2690;?;183,7725598;34,30025725;f;?;good
802;a;41,33;t;u;g;i;bb;2.25;t;f;f;t;g;f;300;?;156,5771077;4,704681605;f;f;good
803;b;20,42;1.835;u;g;c;v;2.25;t;t;t;f;g;100.0;150;?;74,26174717;10,67288103;100000.0;f;good
804;a;32,33;0.54;u;g;cc;v;0.04;t;f;f;f;g;440.0;11177;?;123,5409482;4,276533344;440000.0;?;good
805;b;60,08;14.5;u;g;ff;ff;18.0;t;t;15;t;g;f;1000;?;229,6233013;79,85251743;f;f;good
806;a;26,08;8.665;u;g;aa;v;1.415;t;f;f;f;g;160.0;150;?;97,36498225;47,08881792;160000.0;f;good
807;b;23,25;4.0;u;g;c;bb;0.25;t;f;f;t;g;160.0;f;?;89,76743426;21,77918836;160000.0;f;good
808;a;33,08;4.625;u;g;q;h;1.625;t;t;2;f;g;f;f;?;126,5349078;24,22093921;f;?;good
